,movie_id,title,release_date,genre_ids,vote_avg,vote_count,Total_Rev,Domestic_Rev,Foreign_Rev,Foreign_Percent,Domestic_Percent
390,462550,Family,2019-04-19,Comedy,6.8,18,120556201,67363237,53192964,55.9,44.1
392,462920,Perfect,2019-05-17,Science Fiction,8.3,3,114289,90964,23325,79.6,20.4
393,463258,Colossal Youth,2018-08-03,Comedy,0.0,0,8968,8331,637,92.9,7.1
394,463272,Johnny English Strikes Again,2018-10-26,Comedy,6.2,1251,158970776,4412170,154558606,2.8,97.2
395,463322,The Dark,2018-04-21,Drama,6.1,68,41142379,12695691,28446688,30.9,69.1
398,463325,Genesis,2018-04-21,Science Fiction,4.5,11,166763,166763,0,100.0,0.0
399,463821,The House with a Clock in Its Walls,2018-09-21,Fantasy,6.2,1128,131457147,68549695,62907452,52.1,47.9
400,464502,Acrimony,2018-03-30,Thriller,6.6,205,46403669,43549096,2854573,93.8,6.2
401,465136,Every Day,2018-02-23,Drama,7.0,1222,10421847,6102076,4319771,58.6,41.4
402,465155,Followers,2018-03-28,Thriller,6.0,6,3350,3350,0,100.0,0.0
403,465871,Maria by Callas,2018-11-02,Documentary,7.7,16,2185562,1267301,918261,58.0,42.0
404,465914,If Beale Street Could Talk,2018-12-14,Drama,7.1,528,20572691,14915773,5656918,72.5,27.5
